pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method
2.12.12.1,2,12,12,1,29.68,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Clay,Cl,M%,DIN ISO 11277
2.12.12.2,2,12,12,2,6.7,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Fine silt,fSi,M%,DIN ISO 11277
2.12.12.3,2,12,12,3,6.75,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Middle silt,mSi,M%,DIN ISO 11277
2.12.12.4,2,12,12,4,8.71,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Coarse silt,cSi,M%,DIN ISO 11277
2.12.12.5,2,12,12,5,22.21,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Fine sand,fSa,M%,DIN ISO 11277
2.12.12.6,2,12,12,6,21.32,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Middle sand,mSa,M%,DIN ISO 11277
2.12.12.7,2,12,12,7,4.63,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Coarse sand,cSa,M%,DIN ISO 11277
2.12.12.8,2,12,12,8,6.9,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,soil pH,pH,,DIN ISO 10390
2.12.12.9,2,12,12,9,1.64,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Soil organic carbon,SOC,M%,DIN ISO 10694
2.12.12.10,2,12,12,10,1.66,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Total carbon,TC,M%,DIN ISO 10694
2.12.12.11,2,12,12,11,0.18,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Totoal nitrogen,TN,M%,DIN ISO 10694
2.12.12.12,2,12,12,12,5.5,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.12.12.13,2,12,12,13,24.0,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.12.12.14,2,12,12,14,12.2,462751.8,5801578.2,1,4,4,2018-04-12,2018-04-13,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.13.13.8,2,13,13,8,7.1,462755.2,5801606.4,1,25,25,2021-04-13,2021-05-07,soil pH,pH,,DIN ISO 10390
2.13.13.12,2,13,13,12,12.0,462755.2,5801606.4,1,25,25,2021-04-13,2021-05-07,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.13.13.13,2,13,13,13,38.0,462755.2,5801606.4,1,25,25,2021-04-13,2021-05-07,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.13.13.14,2,13,13,14,15.7,462755.2,5801606.4,1,25,25,2021-04-13,2021-05-07,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.14.14.8,2,14,14,8,6.8,462763.7,5801495.4,1,25,25,2021-04-13,2021-05-07,soil pH,pH,,DIN ISO 10390
2.14.14.12,2,14,14,12,8.3,462763.7,5801495.4,1,25,25,2021-04-13,2021-05-07,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.14.14.13,2,14,14,13,27.0,462763.7,5801495.4,1,25,25,2021-04-13,2021-05-07,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.14.14.14,2,14,14,14,9.2,462763.7,5801495.4,1,25,25,2021-04-13,2021-05-07,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.15.15.1,2,15,15,1,21.22,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Clay,Cl,M%,DIN ISO 11277
2.15.15.2,2,15,15,2,6.0,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Fine silt,fSi,M%,DIN ISO 11277
2.15.15.3,2,15,15,3,5.88,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Middle silt,mSi,M%,DIN ISO 11277
2.15.15.4,2,15,15,4,9.06,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Coarse silt,cSi,M%,DIN ISO 11277
2.15.15.5,2,15,15,5,23.08,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Fine sand,fSa,M%,DIN ISO 11277
2.15.15.6,2,15,15,6,26.91,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Middle sand,mSa,M%,DIN ISO 11277
2.15.15.7,2,15,15,7,7.85,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Coarse sand,cSa,M%,DIN ISO 11277
2.15.15.8,2,15,15,8,6.8,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,soil pH,pH,,DIN ISO 10390
2.15.15.12,2,15,15,12,17.5,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.15.15.13,2,15,15,13,42.0,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.15.15.14,2,15,15,14,16.5,462790.6,5801787.1,1,5,5,2018-05-30,2018-05-31,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.16.16.1,2,16,16,1,3.93,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Clay,Cl,M%,DIN ISO 11277
2.16.16.2,2,16,16,2,0.37,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Fine silt,fSi,M%,DIN ISO 11277
