point_ID,X,Y,field_ID
369,424884.9,5885192.3,26
370,425229.6,5885147,26
371,425419.8,5885317.2,26
372,425617.4,5885424.7,26
373,425217.7,5885007.8,27
374,425418.8,5885067.5,27
375,425520.9,5884894.8,27
376,425581.4,5885101,27
377,425756.3,5884977.3,27
378,425072.1,5884178.6,28
379,425114.6,5884541.6,28
380,425374.7,5884248.9,28
381,425442.3,5884656.7,28
382,425504.8,5884451.6,28
383,421216.7,5891065.4,29
384,421222.4,5890994.5,29
385,421377.4,5890808.6,29
386,421447.5,5890784.4,29
387,421580.9,5890893,29
388,421795.5,5890746.2,29
389,422140.4,5890665.6,29
390,422194.1,5890752.9,29
391,422318.9,5890904.5,29
392,422504.4,5890746.9,29
393,423218.1,5891026.2,30
394,423241.4,5891393.1,30
395,423330.9,5891606,30
396,423366.7,5891113.9,30
397,423397.1,5890931.4,30
398,423534.9,5891414.5,30
399,423069.5,5890507.1,31
400,423080.2,5890464.7,31
401,423108.8,5890420.1,31
402,423124,5890383.4,31
403,423130.7,5890430.9,31
404,423132.4,5890369.7,31
405,423144.9,5890298.6,31
406,423152.6,5890481.3,31
407,423162.8,5890349.2,31
408,423165.4,5890282.2,31
409,423169.5,5890264.7,31
410,423171.1,5890416.7,31
411,423208.5,5890155.8,31
412,423243.4,5890262.3,31
413,423263.2,5890450.7,31
414,423280.2,5890626.5,31
415,423300.1,5890288,31
416,423321.1,5890293.7,31
417,423324.3,5890255.8,31
418,423334.7,5890404.6,31
419,423341.8,5890162.5,31
420,423343.4,5890654.2,31
421,423350.4,5890716.1,31
422,423350.6,5890311.8,31
423,423356.3,5890269.2,31
424,423361.4,5890536.5,31
425,423361.7,5890480.6,31
426,423365.8,5890566.4,31
427,423374.9,5890288.5,31
428,423378.4,5890675.9,31
429,423384.4,5890704.3,31
430,423384.7,5890299.3,31
431,423394.5,5890364.3,31
432,423398.1,5890411.9,31
433,423416,5890181.8,31
434,423424.5,5890026.5,31
435,423428.2,5890513.4,31
436,423438.6,5890722.8,31
437,423441.4,5890636.3,31
438,423446.9,5890643.7,31
439,423461.1,5890684.4,31
440,423474.3,5890675.2,31
441,423475.4,5890585.9,31
442,423476.7,5889951.1,31
443,423478.9,5890053.1,31
444,423481.7,5890709.9,31
445,423498.9,5890521.3,31
446,423507.7,5890012.2,31
447,423510.5,5890068.1,31
448,423517.5,5890457.6,31
449,423521.8,5890018.9,31
450,423522.9,5890051,31
451,423523.7,5890643.9,31
452,423550.3,5890430,31
453,423553.3,5890457.1,31
