pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.122.122.10,1,122,122,10,0.98,428912.1,5886005.9,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.124.124.9,1,124,124,9,0.78,428938.8,5885957.2,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.124.124.10,1,124,124,10,0.81,428938.8,5885957.2,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.125.125.9,1,125,125,9,0.71,428957.5,5885849.8,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.125.125.10,1,125,125,10,0.72,428957.5,5885849.8,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.193.193.9,1,193,193,9,0.8,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.193.193.10,1,193,193,10,0.87,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.194.194.9,1,194,194,9,0.81,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.194.194.10,1,194,194,10,0.84,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.195.195.9,1,195,195,9,0.97,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.195.195.10,1,195,195,10,1.01,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.196.196.9,1,196,196,9,0.78,426702.4,5884791.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.196.196.10,1,196,196,10,0.82,426702.4,5884791.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.197.197.9,1,197,197,9,0.95,426707.5,5884643.9,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.197.197.10,1,197,197,10,1.0,426707.5,5884643.9,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.199.199.9,1,199,199,9,0.83,426726.8,5884736.5,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.199.199.10,1,199,199,10,1.24,426726.8,5884736.5,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.201.201.9,1,201,201,9,0.93,426728.6,5884542.9,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.201.201.10,1,201,201,10,0.93,426728.6,5884542.9,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.202.202.9,1,202,202,9,0.75,426742.7,5884795.5,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.202.202.10,1,202,202,10,0.76,426742.7,5884795.5,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.203.203.9,1,203,203,9,0.88,426749.4,5884660.9,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.203.203.10,1,203,203,10,0.89,426749.4,5884660.9,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.204.204.9,1,204,204,9,0.64,426757.4,5884769.2,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.204.204.10,1,204,204,10,0.65,426757.4,5884769.2,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.205.205.9,1,205,205,9,0.87,426780.1,5884777.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.205.205.10,1,205,205,10,0.88,426780.1,5884777.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.206.206.9,1,206,206,9,0.99,426784.7,5884812.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.206.206.10,1,206,206,10,1.03,426784.7,5884812.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.207.207.9,1,207,207,9,0.96,426786.8,5884836.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.207.207.10,1,207,207,10,0.96,426786.8,5884836.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.208.208.9,1,208,208,9,0.85,426786.8,5884922.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.208.208.10,1,208,208,10,0.85,426786.8,5884922.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.209.209.9,1,209,209,9,1.06,426791.9,5884895.9,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
