pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value
2.27.27.4,2,27,27,4,7.45
2.27.27.5,2,27,27,5,28.06
2.27.27.6,2,27,27,6,38.34
2.27.27.7,2,27,27,7,13.94
2.27.27.8,2,27,27,8,6.8
2.27.27.9,2,27,27,9,0.78
2.27.27.10,2,27,27,10,0.84
2.27.27.11,2,27,27,11,0.08
2.27.27.12,2,27,27,12,7.7
2.27.27.13,2,27,27,13,14
2.27.27.14,2,27,27,14,3.3
2.28.28.9,2,28,28,9,0.66
2.28.28.10,2,28,28,10,0.68
2.28.28.11,2,28,28,11,0.06
2.29.29.1,2,29,29,1,4.53
2.29.29.2,2,29,29,2,1.41
2.29.29.3,2,29,29,3,4.34
2.29.29.4,2,29,29,4,7.66
2.29.29.5,2,29,29,5,26.2
2.29.29.6,2,29,29,6,41.24
2.29.29.7,2,29,29,7,14.62
2.29.29.8,2,29,29,8,6.5
2.29.29.9,2,29,29,9,0.87
2.29.29.10,2,29,29,10,0.88
2.29.29.11,2,29,29,11,0.1
2.29.29.12,2,29,29,12,12.6
2.29.29.13,2,29,29,13,15
2.29.29.14,2,29,29,14,5.7
2.30.30.1,2,30,30,1,2.74
2.30.30.2,2,30,30,2,0.74
2.30.30.3,2,30,30,3,3.24
2.30.30.4,2,30,30,4,6.23
2.30.30.5,2,30,30,5,40.39
2.30.30.6,2,30,30,6,39.59
2.30.30.7,2,30,30,7,7.08
2.30.30.8,2,30,30,8,6.8
2.30.30.12,2,30,30,12,12.2
2.30.30.13,2,30,30,13,18
2.30.30.14,2,30,30,14,3.5
2.31.31.1,2,31,31,1,13.23
2.31.31.2,2,31,31,2,5.78
2.31.31.3,2,31,31,3,5.37
2.31.31.4,2,31,31,4,13.41
2.31.31.5,2,31,31,5,26.94
2.31.31.6,2,31,31,6,28.93
2.31.31.7,2,31,31,7,6.35
2.31.31.8,2,31,31,8,6.8
2.31.31.12,2,31,31,12,8
2.31.31.13,2,31,31,13,35
2.31.31.14,2,31,31,14,8.6
2.32.32.1,2,32,32,1,22.64
2.32.32.2,2,32,32,2,4.76
2.32.32.3,2,32,32,3,7.37
2.32.32.4,2,32,32,4,11.95
2.32.32.5,2,32,32,5,23.63
2.32.32.6,2,32,32,6,23.91
2.32.32.7,2,32,32,7,5.73
2.32.32.8,2,32,32,8,6.9
2.32.32.12,2,32,32,12,11
2.32.32.13,2,32,32,13,35
2.32.32.14,2,32,32,14,12
2.33.33.1,2,33,33,1,20.43
2.33.33.2,2,33,33,2,7.93
2.33.33.3,2,33,33,3,7.58
2.33.33.4,2,33,33,4,9.54
2.33.33.5,2,33,33,5,25.81
2.33.33.6,2,33,33,6,23.16
2.33.33.7,2,33,33,7,5.55
2.33.33.8,2,33,33,8,6.9
2.33.33.12,2,33,33,12,6.4
2.33.33.13,2,33,33,13,32
2.33.33.14,2,33,33,14,11
2.34.34.1,2,34,34,1,29.04
2.34.34.2,2,34,34,2,6.9
2.34.34.3,2,34,34,3,15.64
2.34.34.4,2,34,34,4,4.81
2.34.34.5,2,34,34,5,22.42
2.34.34.6,2,34,34,6,17.26
2.34.34.7,2,34,34,7,3.93
2.34.34.8,2,34,34,8,7
2.34.34.12,2,34,34,12,13.5
2.34.34.13,2,34,34,13,46
2.34.34.14,2,34,34,14,16.2
